Question Number,Question,Answer1,Answer2,Answer3,Answer4,Category,Difficulty
86,What is data normalization?,Data normalization scales numeric data common range without distorting,Normalization adjusts values different scales common scale,Normalization transforms data zero mean unit variance performance,Data normalization standardizes feature ranges preventing dominance,Data Science and Data Analytics,Intermediate
87,What is the difference between structured semi-structured unstructured data?,Structured data fits fixed fields semi-structured some organization unstructured no model,Structured data tabular semi-structured tags markers unstructured no format,Structured data databases semi-structured JSON XML unstructured emails,Structured highly organized semi-structured partial organization unstructured lacks,Data Science and Data Analytics,Beginner
88,What is a data warehouse?,Data warehouse central repository integrated data multiple sources,Data warehouse stores historical data for reporting analysis,Data warehouse organizes data for business intelligence queries,Data warehouse enables data analysis across organization,Data Science and Data Analytics,Intermediate
89,What is ETL?,Extract Transform Load process moving data from sources to warehouse,ETL extracts data from sources transforms loads into data warehouse,ETL involves data extraction transformation loading procedures,ETL prepares data for analysis through extraction transformation loading,Data Science and Data Analytics,Intermediate
90,What is the difference between supervised unsupervised learning data science?,Supervised uses labeled data unsupervised finds patterns unlabeled,Supervised has target variables provided unsupervised discovers patterns,Supervised learns from labeled examples unsupervised finds structure,Supervised requires input-output pairs unsupervised works input only,Data Science and Data Analytics,Beginner
91,What is Docker?,Docker platform developing shipping running applications containers,Docker containerizes applications dependencies consistent execution,Docker packages software standardized units development shipment,Docker uses containerization creating portable application packages,DevOps and CI/CD,Beginner
92,What is a container?,Container standard unit software packaging code dependencies running reliably,Containers lightweight standalone executable packages including everything,Containers provide OS-level virtualization running isolated spaces,Containers encapsulate applications runtime consistent behavior,DevOps and CI/CD,Beginner
93,What is the difference between container virtual machine?,Containers share host OS kernel VMs include full OS making lightweight,Containers virtualize OS VMs virtualize hardware,Containers more efficient start faster than VMs no guest OS,Containers less overhead better resource utilization than VMs,DevOps and CI/CD,Intermediate
94,What is Kubernetes?,Kubernetes container orchestration automating deployment scaling management,Kubernetes manages containerized applications across clusters,Kubernetes provides platform automating container operations,Kubernetes orchestrates computing networking storage containers,DevOps and CI/CD,Intermediate
95,What is a pod in Kubernetes?,Pod smallest deployable unit representing containers sharing storage network,Pods basic building blocks hosting tightly coupled containers,Pods group containers sharing resources scheduled together,Pods provide shared execution environment containers shared resources,DevOps and CI/CD,Intermediate
96,What is Jenkins?,Jenkins open-source automation server building testing deploying software,Jenkins provides continuous integration delivery through plugins,Jenkins automates software development building testing deployment,Jenkins self-contained Java program running major operating systems,DevOps and CI/CD,Intermediate
97,What is infrastructure as code IaC?,IaC manages provisions infrastructure through code not manual processes,IaC allows version control repeatable deployments automated management,IaC treats infrastructure configuration software code enabling automation,IaC uses machine-readable files managing IT infrastructure,DevOps and CI/CD,Intermediate
98,What is Terraform?,Terraform infrastructure code tool building changing versioning infrastructure,Terraform open-source IaC using declarative configuration cloud resources,Terraform defines provisions data center infrastructure configuration,Terraform provides consistent CLI managing cloud services infrastructure,DevOps and CI/CD,Intermediate
99,What is Ansible?,Ansible open-source automation configuration management deployment,Ansible IT automation engine automating cloud provisioning configuration,Ansible uses YAML playbooks defining automation human-readable,Ansible agentless automation using SSH managing nodes no software,DevOps and CI/CD,Intermediate
100,What is Git?,Git distributed version control tracking changes source code development,Git free open-source version control handling projects size efficiency,Git allows multiple developers working codebase maintaining history,Git enables branching merging supporting non-linear development,DevOps and CI/CD,Beginner
101,What is a Dockerfile?,Dockerfile text document containing commands build Docker image,Dockerfile script containing commands assemble container image automatically,Dockerfile defines environment configuration creating container image,Dockerfile specifies base image dependencies commands building container,DevOps and CI/CD,Intermediate
102,What is a Docker image?,Docker image lightweight standalone executable package including everything needed,Docker images read-only templates creating containers specific configurations,Images built Dockerfiles contain code libraries dependencies configuration,Docker images layered filesystems versioned shared deployed environments,DevOps and CI/CD,Intermediate
103,What is Docker Compose?,Docker Compose tool defining running multi-container applications,Docker Compose uses YAML files configuring services managing deployments,Compose allows defining running multiple containers single service dependencies,Compose simplifies orchestration interconnected containers declarative configuration,DevOps and CI/CD,Intermediate
104,What is a Kubernetes cluster?,Kubernetes cluster set nodes running containerized applications control worker nodes,Kubernetes cluster includes master nodes managing worker nodes running applications,Kubernetes cluster comprises control plane components nodes containers deployed,Cluster foundation Kubernetes master controlling worker nodes hosting pods,DevOps and CI/CD,Intermediate
105,What is a Kubernetes deployment?,Kubernetes deployment provides declarative updates pods replica sets,Deployments manage creation scaling pod replicas rolling update capabilities,Deployment objects describe desired state pods replica sets Kubernetes,Deployments enable updates rollbacks application versions minimal downtime,DevOps and CI/CD,Intermediate
106,What is a Kubernetes service?,Kubernetes service abstraction defining logical set pods policy access,Services provide stable network endpoints connecting dynamic pod instances,Services enable network access set pods using labels selectors,Kubernetes services load balance traffic across pods service discovery,DevOps and CI/CD,Intermediate
107,What are Python dictionaries?,Dictionaries unordered collections key-value pairs mutable indexed keys,Dictionaries store data key-value pairs unique keys fast lookup,Python dicts hash tables mapping keys values O1 average complexity,Dictionaries use curly braces providing efficient data retrieval key access,Python (Programming Language),Beginner
108,What is list comprehension Python?,List comprehension concise way creating lists single line code loops conditions,List comprehensions generate new lists applying expressions items iterable filtering,List comprehension compact syntactic transforming filtering sequences lists,Python list comprehensions readable efficient alternative loops list creation,Python (Programming Language),Intermediate
109,What are Python generators?,Generators functions returning iterator yielding values time maintaining state,Generators use yield statements producing values time enabling efficient iteration,Python generators create iterators without storing entire sequences memory,Generators lazy-evaluated generate infinite sequences efficiently,Python (Programming Language),Intermediate
110,What is Global Interpreter Lock GIL Python?,GIL mutex allowing one thread execute Python bytecode time CPython,GIL prevents multiple threads executing bytecodes simultaneously CPython,Global Interpreter Lock simplifies memory management limits parallel execution,GIL mechanism CPython synchronizes thread execution impacts performance,Python (Programming Language),Advanced
111,What are Python virtual environments why important?,Virtual environments create isolated Python environments separate packages,Virtual environments allow project-specific dependencies affecting system,Virtual environments prevent version conflicts isolating package installations,Virtual environments create independent Python environments site directories,Python (Programming Language),Intermediate
112,What are JavaScript promises?,Promises represent eventual completion failure asynchronous operation value,Promises objects representing value available now future never,JavaScript promises handle asynchronous methods success then failure catch,Promises provide cleaner alternative callbacks handling asynchronous code,JavaScript / TypeScript,Intermediate
113,What is difference let const var JavaScript?,let block scope const block scope cannot reassigned var function scope,let allows reassignment not redeclaration const prevents both reassignment redeclaration,var function-scoped hoisted let const block-scoped temporal dead zone,const requires initialization declaration cannot reassigned let reassigned,JavaScript / TypeScript,Intermediate
